Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6vqBH5sqd2Evzz8SSTHqE1,"hai domo","hai domo","Coa White",2023-01-01,63251,40,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"hyperpop","coa white",0.698,0.919,6,-3.565,1,0.391,0.288,0,0.745,0.845,148.436,4
29zRKUVmgWz2kHQntGeXhm,"Hai Domo","Hai Domo","Cao White",2020-01-07,104594,0,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Cao White",0.715,0.91,8,-4.762,1,0.338,0.181,0.00000149,0.628,0.889,74.397,3
0WKmVAD4VWk5EdTyCFILi4,"Needs","Needs","Verzache",2018-02-14,177479,51,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Zach Farache",0.813,0.601,11,-7.552,0,0.116,0.189,0.0002,0.426,0.855,118.981,4
1pNUmVxDiE8t6P1XxcZAv8,"Scrawny","Nothing Happens","Wallows",2019-03-22,166520,63,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"indie","Atlantic Records",0.639,0.816,6,-5.28,0,0.0485,0.000985,0.0604,0.141,0.802,138.008,4
29HlBiU0YHQep1L4xTLjua,"Hai Domo - Extended","Hai Domo (Remixes)","Cao White",2023-01-02,212457,0,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Cao White",0.727,0.704,6,-12.143,1,0.398,0.161,0,0.231,0.823,148.212,4
1xADYlM5rjnbJvAW2tc0qF,"Ain't No Grave","American VI: Ain't No Grave","Johnny Cash",2010-01-01,173266,56,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"country","American Recordings Catalog P&D",0.52,0.35,9,-10.713,0,0.052,0.894,0.000778,0.0895,0.39,79.647,4
4s6LhHAV5SEsOV0lC2tjvJ,"California Dreamin' - Single Version","If You Can Believe Your Eyes & Ears","The Mamas & The Papas",1966-03,162373,77,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"folk rock","Geffen*",0.552,0.608,1,-9.786,0,0.0345,0.352,0,0.0533,0.637,112.367,4
6jXPZid0KLorvgIDP6TiSo,"God's Gonna Cut You Down","American V: A Hundred Highways","Johnny Cash",2006-01-01,158573,66,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"country","American Recordings Catalog P&D",0.618,0.484,5,-8.229,0,0.127,0.875,0.0000431,0.115,0.834,82.317,4
3gY7vwLyXH2vt1zjIyVA2a,"No Wonder I","Circular Doorway","LAKE",2013-08-13,187588,38,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Cathedral Sounds",0.59,0.384,3,-12.195,1,0.0316,0.576,0.00291,0.105,0.56,72.539,4
6MpCaSIOfqBqbMED4kXgNY,"Prom Queen","Prom Queen","Beach Bunny",2018-08-10,136562,20,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Mom+Pop",0.528,0.797,4,-7.487,1,0.0485,0.000391,0.011,0.14,0.751,143.785,4
7yiOte1eSM0npbr8sEIuzs,"The Town Inside Me","The Town Inside Me","AISHA,Arc System Works",2022-09-21,257950,50,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","ARC SYSTEM WORKS",0.587,0.67,8,-4.673,1,0.165,0.242,0,0.238,0.547,167.957,4
75MALmx6EHZ9YLUaqRqa23,"I Wish I Was A Riot Grrrl","Punk Rocks For Kids Who Can't Skate","Destructo Disk",2018-08-01,145002,0,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Destructo Disk :)",0.453,0.791,1,-5.276,1,0.0752,0.0147,0,0.131,0.562,170.238,4
2IRjyyiU5P9WnmXJKcnwww,"It's Called: Freefall","It's Called: Freefall","Paris Paloma",2022-07-22,158297,64,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Nettwerk Music Group",0.684,0.129,6,-15.007,1,0.0518,0.908,0.0000021,0.182,0.299,93.775,4
58VTP6KnZs12PcAj5rMJ4W,"the fruits","the fruits","Paris Paloma",2022-04-29,209698,66,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Nettwerk Music Group",0.404,0.0641,7,-22.394,0,0.0381,0.909,0.00237,0.282,0.0791,77.675,4
0wKCqsj4BtBeCWdghRCXIf,"White Wine Red Lies","Red Wine and White Lies","Hairu Tokyo,Landon Ori,Yng Dee",2021-09-04,207804,40,z9xc6iyksrgs1p8ekhjqklyyn,2024-11-11T02:41:15Z,"","Halfway Famous",0.752,0.83,11,-2.711,0,0.151,0.0487,0,0.101,0.707,162.855,4
